Priority,Rank,Project Name,GitHub URL,Live URL,Tech Stack,Status,Started Date,Completed Date,Time Spent (min),Issues/Notes,Deployed & Verified
CRITICAL,1,biblical-political-analyzer,https://github.com/IGTA-Tech/biblical-political-analyzer,https://faithandpolicy.com,TBD,Pending,,,,,
CRITICAL,2,placement-investment-proposal,https://github.com/IGTA-Tech/placement-investment-proposal,https://placementsproposal.com,TBD,Pending,,,,,
HIGH,3,lido-proposal,https://github.com/IGTA-Tech/lido-proposal,https://lido-partnership-proposal.netlify.app,TBD,Pending,,,,,
HIGH,4,visa-glow-tool,https://github.com/IGTA-Tech/visa-glow-tool,https://visa-glow-tool.netlify.app,Next.js,Pending,,,,,
HIGH,5,multi-brand-email-automation,https://github.com/IGTA-Tech/multi-brand-email-automation,https://multi-brand-email-automation.netlify.app,TBD,Pending,,,,,
HIGH,6,spaces-by-premier,https://github.com/IGTA-Tech/spaces-by-premier,https://spaces-by-premier.netlify.app,TBD,Pending,,,,,
HIGH,7,evaluation-tool-jacksonwink,https://github.com/IGTA-Tech/evaluation-tool-jacksonwink,https://evaluation-tool-jacksonwink.netlify.app,TBD,Pending,,,,,
HIGH,8,p2025,https://github.com/IGTA-Tech/p2025,https://p2025-theta.vercel.app,TBD,Pending,,,,,
MEDIUM,9,ias-investment-proposal-general,https://github.com/IGTA-Tech/ias-investment-proposal-general,https://ias-investment-proposal-general.netlify.app,TBD,Pending,,,,,
MEDIUM,10,ias-investment-proposal-v2,https://github.com/IGTA-Tech/ias-investment-proposal-v2,https://ias-investment-proposal-v2.netlify.app,TBD,Pending,,,,,
MEDIUM,11,ias-investment-proposal,https://github.com/IGTA-Tech/ias-investment-proposal,https://ias-investment-proposal.netlify.app,TBD,Pending,,,,,
LOWER,12,innovative-automations-ppm-builder,https://github.com/IGTA-Tech/innovative-automations-ppm-builder,N/A - Production Ready,SaaS Platform,Pending,,,,,
LOWER,13,car-speed-analyzer-ultimate,https://github.com/IGTA-Tech/car-speed-analyzer-ultimate,N/A,Educational App,Pending,,,,,
LOWER,14,speedcards,https://github.com/IGTA-Tech/speedcards,N/A,Interactive Game,Pending,,,,,
LOWER,15,fmc-praise-team,https://github.com/IGTA-Tech/fmc-praise-team,N/A,Google Sheets Backend,Pending,,,,,
LOWER,16,ssv-content-generator,https://github.com/IGTA-Tech/ssv-content-generator,N/A,Content Generation,Pending,,,,,
LOWER,17,business-fraud-investigation-system,https://github.com/IGTA-Tech/business-fraud-investigation-system,N/A,AI Platform (Private),Pending,,,,,
LOWER,18,investigator-ai,https://github.com/IGTA-Tech/investigator-ai,N/A,AI Platform,Pending,,,,,
LOWER,19,landing-page-generator,https://github.com/IGTA-Tech/landing-page-generator,N/A,Streamlit App,Pending,,,,Special handling needed,
LOWER,20,multi-brand-email-automation-igta,https://github.com/IGTA-Tech/multi-brand-email-automation-igta,N/A,Email Automation,Pending,,,,,
LOWER,21,Claude-OpenAI-Co-Project-Tool,https://github.com/IGTA-Tech/Claude-OpenAI-Co-Project-Tool,N/A,White-label AI,Pending,,,,,
LOWER,22,investorbloc-app,https://github.com/IGTA-Tech/investorbloc-app,N/A,ROIC Analysis,Pending,,,,,
LOWEST,23,website-scraper,https://github.com/IGTA-Tech/website-scraper,N/A,Python CLI,Skip,,,,CLI tool - no web UI,
LOWEST,24,innovative-automations-investments,https://github.com/IGTA-Tech/innovative-automations-investments,N/A,Documentation (Private),Skip,,,,Docs only,
LOWEST,25,innovative-automations-investments-try-2,https://github.com/IGTA-Tech/innovative-automations-investments-try-2,N/A,Documentation (Private),Skip,,,,Docs only,
LOWEST,26,FMC-chord-video,https://github.com/IGTA-Tech/FMC-chord-video,N/A,Video System (Private),Pending,,,,,
LOWEST,27,twitch-video-editor,https://github.com/IGTA-Tech/twitch-video-editor,N/A,Video Editor,Pending,,,,,
LOWEST,28,conent-agent,https://github.com/IGTA-Tech/conent-agent,N/A,JSON Workflows (Private),Skip,,,,Backend only,
LOWEST,29,sherrod-sports-visas-lead-app,https://github.com/IGTA-Tech/sherrod-sports-visas-lead-app,N/A,Lead Gen (Private),Pending,,,,,
ARCHIVED,30,openaicodex,https://github.com/IGTA-Tech/openaicodex,N/A,OpenAI (Private),Skip,,,,Archived project,
